,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Star
Manu Ginobli,2002-03,25,SAS,NBA,SG,69,1431,14.7,0.556,0.373,0.431,4,8.8,6.5,15.8,3.6,0.8,17.5,18.5,1.8,2.4,4.2,0.141,1.1,1.5,2.6,1.7,5,20.7,2.5,5.8,0.438,0.7,2.1,0.345,1.8,3.6,0.494,0.503,1.8,2.5,0.737,0.7,1.7,2.3,2,1.4,0.2,1.4,2.5,7.6,1
Jason Terry,1999-00,22,ATL,NBA,PG,81,1888,13.9,0.497,0.262,0.233,1.4,8.2,4.8,29.3,2.5,0.3,19.1,19.2,0.9,0.9,1.9,0.047,-0.1,-1.7,-1.8,0.1,0,23.3,3.1,7.4,0.415,0.6,1.9,0.293,2.5,5.5,0.458,0.453,1.4,1.7,0.807,0.3,1.8,2,4.3,1.1,0.1,1.9,1.6,8.1,0
Serge Ibaka,2009-10,20,OKC,NBA,PF,73,1323,15.2,0.562,0.005,0.249,12.3,21.9,17.2,1.2,1,5.5,14.2,16.2,1.3,2.4,3.7,0.134,-3.1,0.8,-2.4,-0.1,0,18.1,2.8,5.1,0.543,0,0,0.5,2.7,5,0.543,0.545,0.8,1.3,0.63,1.9,3.5,5.4,0.1,0.3,1.3,0.9,2.7,6.3,0
Tony Parker,2001-02,19,SAS,NBA,PG,77,2267,11.7,0.497,0.296,0.25,1.7,8,5,23.9,2.1,0.2,17.5,17.7,0.8,2.9,3.8,0.08,-0.5,0.1,-0.4,0.9,72,29.4,3.5,8.3,0.419,0.8,2.5,0.323,2.7,5.8,0.46,0.467,1.4,2.1,0.675,0.4,2.1,2.6,4.3,1.2,0.1,2,2.2,9.2,1
Derrick Williams,2011-12,20,MIN,NBA,PF,66,1418,12.9,0.499,0.277,0.392,6,18.4,12.2,4.5,1.1,1.6,11.7,20.7,0.6,1.2,1.8,0.059,-2.3,-0.8,-3.1,-0.4,15,21.5,3.1,7.5,0.412,0.6,2.1,0.268,2.5,5.5,0.467,0.449,2.1,3,0.697,1.2,3.5,4.7,0.6,0.5,0.5,1.2,1.4,8.8,0
Al Horford,2007-08,21,ATL,NBA,C,81,2540,14.7,0.539,0.007,0.317,11.4,24.5,18,7.9,1.2,2.2,15.3,16,2.4,3,5.5,0.103,-1.3,1.1,-0.2,1.2,77,31.4,4.1,8.2,0.499,0,0.1,0,4.1,8.2,0.502,0.499,1.9,2.6,0.731,3.1,6.6,9.7,1.5,0.7,0.9,1.7,3.3,10.1,1
Greg Monroe,2010-11,20,DET,NBA,C,80,2222,18,0.575,0.002,0.424,13,20.4,16.5,7.5,2.3,1.6,11,15.4,4.7,1.9,6.6,0.143,1.4,1,2.5,2.5,48,27.8,3.8,6.9,0.551,0,0,0,3.8,6.9,0.552,0.551,1.8,2.9,0.622,3.1,4.4,7.5,1.3,1.2,0.6,1,2.5,9.4,0
Chandler Parsons,2011-12,23,HOU,NBA,SF,63,1804,13.3,0.513,0.324,0.142,5.7,13.6,9.6,11.7,2.1,1.2,12.2,16.7,1.6,1.8,3.4,0.09,0.5,1.2,1.7,1.7,57,28.6,3.9,8.7,0.452,1,2.8,0.337,3,5.9,0.507,0.506,0.7,1.2,0.551,1.4,3.3,4.8,2.1,1.2,0.5,1.3,2.3,9.5,0
Jeremy Lin,2010-11,22,GSW,NBA,PG,29,285,14.8,0.458,0.069,0.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,0,0.4,0.5,0.078,-2.4,3,0.6,0.2,0,9.8,1,2.5,0.389,0,0.2,0.2,0.9,2.3,0.403,0.396,0.7,0.9,0.76,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6,0
Dwight Howard,2004-5,19,ORL,NBA,PF,82,2670,17.2,0.571,0.003,0.61,12.2,22.2,17.3,4.4,1.5,3.6,16.1,16.7,3.8,3.5,7.3,0.131,-0.5,1.5,1,2,82,32.6,4.3,8.3,0.52,0,0,0,4.3,8.2,0.521,0.52,3.4,5,0.671,3.5,6.5,10,0.9,0.9,1.7,2,2.8,12,1
Ish Smith,2010-11,22,TOT,NBA,PG,43,442,7.6,0.406,0.087,0.183,1.8,10.3,6.1,25.5,2.1,0.3,21.5,15.9,-0.5,0.4,-0.1,-0.016,-5.1,-1.1,-6.1,-0.5,3,10.3,1,2.7,0.374,0.1,0.2,0.3,0.9,2.4,0.381,0.387,0.3,0.5,0.571,0.2,0.9,1.1,1.8,0.4,0,0.8,0.9,2.3,0
Thaddeus Young,2007-08,19,PHI,NBA,PF,74,1554,16.5,0.57,0.039,0.21,9.1,14.8,11.9,6.2,2.5,0.4,10.7,17.4,2.6,2,4.5,0.14,0.3,0.3,0.6,1,22,21,3.6,6.6,0.539,0.1,0.3,0.316,3.5,6.4,0.548,0.545,1,1.4,0.738,1.6,2.6,4.2,0.8,1,0.1,0.9,1.7,8.2,0
Anthony Davis,2012-13,19,NOH,NBA,PF,64,1846,21.7,0.559,0.009,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,3.7,2.4,6.1,0.159,0.5,1.9,2.4,2,60,28.8,5.5,10.6,0.516,0,0.1,0,5.5,10.5,0.521,0.516,2.6,3.5,0.751,2.6,5.6,8.2,1,1.2,1.8,1.4,2.5,13.5,1
Kawhi Leonard,2011-12,20,SAS,NBA,SF,64,1534,16.6,0.573,0.27,0.218,7.9,16.4,12.2,6.6,2.9,1.1,9,14.5,3.1,2.4,5.5,0.171,2,2.3,4.3,2.4,39,24,3.1,6.3,0.493,0.6,1.7,0.376,2.5,4.6,0.536,0.543,1.1,1.4,0.773,1.6,3.5,5.1,1.1,1.3,0.4,0.7,1.4,7.9,1
Paul George,2010-11,20,IND,NBA,SG,61,1265,13,0.542,0.349,0.256,3.3,16.3,9.8,8.3,2.5,1.5,13.7,17.8,0.5,1.9,2.4,0.091,-1.2,1.2,0,0.6,19,20.7,2.9,6.5,0.453,0.7,2.3,0.297,2.3,4.2,0.537,0.505,1.3,1.7,0.762,0.6,3.1,3.7,1.1,1,0.4,1.1,2.1,7.8,1
Javale McGee,2008-09,21,WAS,NBA,C,75,1143,17,0.534,0,0.419,12,18.4,15.1,3.4,1.5,5.4,11.7,20.7,1.1,0.9,2,0.084,-2.5,-0.6,-3.1,-0.3,14,15.2,2.5,5.2,0.494,0,0,0,2.5,5.2,0.494,0.494,1.4,2.2,0.66,1.6,2.3,3.9,0.3,0.4,1,0.8,2.1,6.5,0
Roy Hibbert,2008-09,22,IND,NBA,C,70,1009,16.1,0.51,0,0.35,12.4,14.1,13.3,7.9,1,5.6,10.2,23.3,1,1.2,2.1,0.102,-1.9,0.5,-1.3,0.2,42,14.4,2.8,6,0.471,0,0,0,2.8,6,0.471,0.471,1.4,2.1,0.667,1.6,1.8,3.5,0.7,0.3,1.1,0.8,3.1,7.1,0
